screen_name|date|tweet
JLMelenchon|2020-01-24 18:29:50|#Marseille est le miroir grossissant du soulèvement social dans lequel notre pays est entré. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 18:28:12|Aujourd'hui, à #Marseille, il pleut. Et il pleut de plus en plus. Le changement climatique provoque le réchauffement de la Méditerranée, provoquant de plus en plus de pluies diluviennes comme celles que nous connaissons avec la #TempêteGloria. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 18:25:04|Je veux saluer Kamel Guemari, qui a mené ici, dans ce Mc Donald's à #Marseille, une lutte courageuse avec les salariés. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 18:22:10|Je remercie toutes celles et ceux qui ont participé à l'installation de cette salle aujourd'hui, à ceux qui permettent que ces voeux aient lieu. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 18:18:50|EN DIRECT - Vœux de Jean-Luc Mélenchon à #Marseille - #VoeuxJLM - https://t.co/vttsItpv4x https://t.co/tvjkxMLg9A
JLMelenchon|2020-01-24 17:15:06|"Woooo ! «NON c’est NON»,  @KhaledFreak vient de sortir un remix de clash ! 😉 

Un message clair pour #Macron🤘 !  

Je pose un pouce bleu immédiatement. 👍 

- JLM, rappeur du piquet de grève de Vitry

#greve24janvier #NonCestNon

https://t.co/Vlw2ydVJ3q"
JLMelenchon|2020-01-24 16:07:59|"#Retraites : Macron est cynique et violent. 

#greve24janvier

https://t.co/XFRNLOccy9"
JLMelenchon|2020-01-24 15:07:07|"Changement climatique : l'heure de la contrainte est venue. 
#Gloria #TempêteGloria 
https://t.co/EN6LgNd0il"
JLMelenchon|2020-01-24 13:01:17|"Impression générale de cette conférence de presse : confusion et indécision à l'heure du coup de force.
#greve24janvier #reformedesretraites"
JLMelenchon|2020-01-24 12:55:38|"Le ministre appelle un texte de loi avec des trous, viol de la démocratie parlementaire, une «ouverture à la démocratie sociale». La tambouille c'est la magouille.
#greve24janvier"
JLMelenchon|2020-01-24 12:51:40|"Aucun éclaircissement sur les questions essentielles comme le mode de calcul de la valeur du point. Ni sur le concept de «carrière complète» dans le nouveau système. Le flou, c'est un mauvais coup ! 
#greve24janvier"
JLMelenchon|2020-01-24 12:48:11|"Alerte. Le vocabulaire du président se radicalise. J'appelle à la plus extrême prudence sur le terrain face aux provocations de #Castaner et #Lallement à l'occasion des manifestations cet après-midi.
#greve24janvier"
JLMelenchon|2020-01-24 12:42:02|"Consternant. Deux mois de lutte et le régime ne change pas un mot d'un projet massivement rejeté par les Français, de tous les secteurs et de toutes opinions politiques. #Macron fait le choix de la violence politique et sociale contre la société. 
#greve24janvier"
JLMelenchon|2020-01-24 11:03:28|Retraites : #Macron perd son sang-froid ! https://t.co/8jf3VEATZH
JLMelenchon|2020-01-24 10:43:32|"« Une dictature, c'est un régime ou une personne ou un clan décident des lois ». Ah bon ? On est en dictature d'après Macron ?
#MacronPèteUnPlomb https://t.co/SsjKvFzcha"
JLMelenchon|2020-01-24 10:25:34|À #Marseille pour la #greve24janvier contre la réforme des retraites. L'opposition au projet du gouvernement est toujours aussi forte après plus d'un mois et demi de lutte !  Les Français ont compris qu'ils seraient tous perdants avec la réforme. Que #Macron retire son projet ! https://t.co/7igyvoXU5p
JLMelenchon|2020-01-24 07:42:35|"Climat, #Gloria, plastiques : penser la catastrophe écologique

#RDLS104 consacrée à la question centrale de notre siècle : comment faire face au dérèglement climatique. Les riches choisissent le « chacun pour soi » ; nous, le « tous ensemble ».

➡️ https://t.co/63QHF1iuAl. https://t.co/j4WJCPTvQF"
JLMelenchon|2020-01-23 19:20:23|"Cette nuit, que la lutte est belle avec ses flambeaux partout ! La France, c'est eux.

#greve23janvier #greve24janvier https://t.co/EjNqNdd6pm"
JLMelenchon|2020-01-23 19:02:23|Après la retraite aux flambeaux, lâcher de lanternes contre la réforme des retraites sur le port de #Marseille en lutte. https://t.co/jNM1HQBXex
JLMelenchon|2020-01-23 17:32:47|La CGT des Bouches-du-Rhône, colonne vertébrale de la lutte sociale du département a réalisé la première retraite au flambeau il y a 15 jours. Ce soir, notre Canebière finit au bout du pays des flambeaux. La France est  Marseillaise. https://t.co/9wZYIADeN0
JLMelenchon|2020-01-23 14:45:05|"Rendez-vous ce vendredi 24 janvier à 18h30 au Mc Donald's en lutte du 14e arrondissement de #Marseille pour les voeux de l'année 2020. 

Evènement Facebook : https://t.co/NkHDlmgkJj https://t.co/ROucUVfzh2"
JLMelenchon|2020-01-23 13:57:37|"Macron crée un droit de censure policière sur les sites internet 
https://t.co/KZHr0uwbvd"
JLMelenchon|2020-01-23 13:25:52|"Une pensée solidaire pour le policier @AlexLanglois_, déféré à l'IGPN pour avoir dénoncé l'usage de #LBD.

Oui, une autre police est possible. https://t.co/9dMMD0YKcJ"
JLMelenchon|2020-01-23 13:07:06|"La guerre de l'espace aura-t-elle lieu ? - Hier à l'Assemblée nationale, la commission des Affaires étrangères auditionnait @Thom_astro. 
https://t.co/ffIgBxp5vv"
JLMelenchon|2020-01-23 10:22:00|Ce jour-là, l'Union soviétique libérait le camp d'extermination d'#Auschwitch. Plus d'un million de juifs y ont été assassinés par les nazis allemands, ainsi que des déportés politiques, prisonniers de guerre et tziganes. N'oublions jamais qui, comment et pourquoi. #Auschwitz75
JLMelenchon|2020-01-22 17:56:34|#Davos : la Bastille est à prendre https://t.co/K5yD8h4oWK
JLMelenchon|2020-01-22 11:52:31|"Les #égoutiers ont 17 ans d’espérance de vie en moins que la moyenne française. 

Avec la réforme des retraites de Macron, ils partiraient 10 ans plus tard en retraite ! 

Nous sommes à #Bercy pour soutenir leur lutte contre cette réforme. https://t.co/3E2sfwhTgH"
JLMelenchon|2020-01-22 11:19:09|À #Bercy, devant le ministère des finances, avec les #égoutiers de Paris en lutte contre la réforme des retraites. https://t.co/IJgkssYAle
JLMelenchon|2020-01-21 21:36:56|À la soirée des #30ansLàbas, lecture d’un texte de Jean Jaurès sur la violence patronale puis d’un texte de @Francois_Ruffin sur l’insurrection populaire du Vimeu rouge. https://t.co/ASMUoCwafj
JLMelenchon|2020-01-21 18:12:31|"Nous n'avons plus le temps pour les demi-mesures. La solution, c'est l'Etat : planification écologique pour respecter la règle verte (ne pas prendre à la nature davantage que ce qu'elle peut reconstituer). 
https://t.co/JmQT2gwt8b"
JLMelenchon|2020-01-21 17:23:30|Décidément, la macronie distribue les légions d'honneur avec un rare sens de l'à-propos... 😱 https://t.co/6T79aq58mD
JLMelenchon|2020-01-21 15:55:31|@RaquelGarridoFr @LePoint @PrudhommeLoic Message du CM de @JLMelenchon : c'est moi, @ALeaument, qui ai commis une faute dans le live-tweet. La position de Jean-Luc Mélenchon sur le sujet est celle que résume la vidéo suivante : https://t.co/JcLpGqz8H3
JLMelenchon|2020-01-21 15:05:12|Pour les médias, «le mouvement s'essouffle». Pourtant, les secteurs en lutte sont toujours plus nombreux : Enedis GRDF, établissements du supérieur, collèges, lycées, salariés de Carrefour, égoutiers, bibliothécaires, avocats, dockers, raffineries, transports, incinérateurs...
JLMelenchon|2020-01-21 14:54:43|"En séance des questions au gouvernement, le député ami de Netanyahou @Meyer_Habib s'en prend à moi en m’assimilant à l'assassin de madame Halimi. Le voyou a été rappelé à l'ordre par le président de l’Assemblée.
#QAG #DirectAN"
JLMelenchon|2020-01-21 14:28:03|La Bourse du Travail vandalisée à #PortDeBouc. Honte à ceux qui s’en prennent à la maison du peuple ! Mon soutien plein et entier aux travailleurs en lutte des Bouches-du-Rhône. https://t.co/2tOhliK9XP
JLMelenchon|2020-01-21 09:50:37|"Tout dérape. - La note d'ambiance politique de la semaine. 

https://t.co/KiX1lZZ8bv"
JLMelenchon|2020-01-20 19:28:21|Nous avons proposé une #MotionDeCensure contre le gouvernement sur la réforme des #retraites. PS et PCF ont refusé. Mais si une motion est déposée par la droite, nous la voterons. https://t.co/IgS2m9rqfK
JLMelenchon|2020-01-20 17:09:06|Cohn-Bendit répète pendant deux jours un mensonge contre une militante LFI sur les plateaux. Aucun journaliste ne vérifie. Aucun démenti n'est diffusé. Fake News officielle. https://t.co/zjoBWP3tML
JLMelenchon|2020-01-20 17:00:00|Ce mardi à 10h à #Agen, devant le commissariat, rassemblement de soutien à Guillaume Floret, secrétaire général de la FNME-CGT du 47, convoqué en audition libre. L'intimidation des syndicalistes engagés dans la lutte contre la réforme des retraites, ça suffit !
JLMelenchon|2020-01-20 14:41:18|"À #Versailles le paradis des riches est l'enfer des pauvres. 

#Oxfam 

https://t.co/ag0JInFdUi"
JLMelenchon|2020-01-20 14:12:53|Avec les #E3C, le nouveau bac c'est du #baccalauréat en fausse monnaie ! Et quel chaos ! Lycéens exaspérés, impréparation, bazar total... Alors que reste-t-il de l'égalité entre candidat.e.s dans l'École de la République ? Blanquer c'est le chaos. #baccalauréat2020
JLMelenchon|2020-01-20 11:36:04|Ça ruisselle fort selon #Oxfam : les 1% les plus riches du monde possèdent plus du double de 90% des êtres humains. En France, 7 milliardaires ont autant qu’un tiers de la population. #Macron leur offre le banquet au château de Versailles.
JLMelenchon|2020-01-19 19:55:27|Les gens voient #Macron comme un monarque arrogant. https://t.co/0lxb5iy8lN
JLMelenchon|2020-01-19 18:00:02|@RaquelGarridoFr @LePoint @PrudhommeLoic Nous devons condamner également les USA et l'Iran comme des fauteurs de guerre. Ma condamnation des USA n'exempte pas l'Iran du fait qu'il s'agit d'une théocratie et non qui veut détruire l'Etat d'Israël. La France doit être non-alignée. #EnTouteFranchise
JLMelenchon|2020-01-19 17:57:37|@RaquelGarridoFr @LePoint @PrudhommeLoic Je salue les soldats de notre armée qui vont au Mali pour des causes incertaines. Nous ne savons pas quels sont les objectifs de la France. Il faut changer la politique sur ce point. Notre présence au Mali commence à être ressentie sur place comme une occupation.#EnTouteFranchise
JLMelenchon|2020-01-19 17:55:26|@RaquelGarridoFr @LePoint @PrudhommeLoic Il faut combattre tous les communautarisme. Qu'est-ce que le communautarisme ? C'est que des gens fassent l'objet de droits spéciaux en fonction d'une appartenance communautaire. Et ça, c'est non. En République, la loi doit être la même pour tous ! #EnTouteFranchise
JLMelenchon|2020-01-19 17:53:50|@RaquelGarridoFr @LePoint @PrudhommeLoic Qu'il y ait un islam politique en France, oui, mais ce n'est pas le seul. Toutes les religions visent des enjeux politiques. Moi j'ai une ligne simple et claire : pas de religion en politique, pas de politique en religion. #EnTouteFranchise
JLMelenchon|2020-01-19 17:52:12|@RaquelGarridoFr @LePoint @PrudhommeLoic Quand monsieur #Castaner fait un nuancier politique pour les #municipales2020 en enlevant 50% de la population et 96% des communes, c'est quand même un peu gros.  #EnTouteFranchise
JLMelenchon|2020-01-19 17:49:41|@RaquelGarridoFr @LePoint @PrudhommeLoic Le peuple français est un peuple d'insoumis, de rebelles, de gens qui sont emprunts de l'esprit de la Révolution de 1789. #EnTouteFranchise
JLMelenchon|2020-01-19 17:48:51|@RaquelGarridoFr @LePoint @PrudhommeLoic De plus en plus de gens dans le pays se disent «il faut que ça pète un bon coup». Et je suis d'accord. Mais je suis et j'ai toujours été opposé aux stratégies de violence. #EnTouteFranchise
JLMelenchon|2020-01-19 17:46:58|@RaquelGarridoFr @LePoint @PrudhommeLoic Monsieur #Macron ne doit pas croire qu'on gouverne le peuple français contre sa volonté. Nous sommes les enfants de la Révolution de 1789. En France, les gens sont des insoumis de naissance. #EnTouteFranchise
JLMelenchon|2020-01-19 17:45:23|@RaquelGarridoFr @LePoint @PrudhommeLoic Si des gens en sont à déclarer leur candidature à la présidentielle deux ans avant l'échéance, comme madame Royal ou madame Le Pen, c'est qu'ils sentent qu'il y a une fragilité dans la position de monsieur #Macron. #EnTouteFranchise
JLMelenchon|2020-01-19 17:41:11|@RaquelGarridoFr @LePoint @PrudhommeLoic Je ne cherche pas à me défiler sur la présidentielle. Je sais que j'ai une décision à prendre et je la prendrai le moment venu. Mais le centre du moment n'est pas là. Madame Le Pen est candidate pour faire taire les critiques internes dans son parti. #EnTouteFranchise
JLMelenchon|2020-01-19 17:39:40|@RaquelGarridoFr @LePoint @PrudhommeLoic Lorsque la grève se ralentit, les gens ne changent pas d'avis pour autant. Monsieur #Macron ne doit pas penser qu'il a réussi à refermer le couvercle sur la colère. #EnTouteFranchise
JLMelenchon|2020-01-19 17:38:39|@RaquelGarridoFr @LePoint @PrudhommeLoic Sur la #reformedesretraites, il y a un gros problème du point de vue parlementaire : nous sommes censés voter sur un texte à trous où le plus important serait décidé après le vote. C'est du jamais vu. Ça n'a aucun sens. #EnTouteFranchise
JLMelenchon|2020-01-19 17:37:06|@RaquelGarridoFr @LePoint @PrudhommeLoic Quand les gens sont dans la grève depuis 40 jours, toutes les formes de solidarité sont indispensables, car cela est dur pour ceux qui luttent. J'ai vu des jeunes gens vendre des gâteaux pour alimenter la caisse de grève. Les grévistes en étaient émus aux larmes.#EnTouteFranchise
JLMelenchon|2020-01-19 17:34:30|@RaquelGarridoFr @LePoint @PrudhommeLoic Je suis un partisan invétéré de la convergence des luttes. Je suis pour une fédération populaire. Cela vaut pour moi dans les luttes sociales comme dans les élections. #EnTouteFranchise
JLMelenchon|2020-01-19 17:32:43|@RaquelGarridoFr @LePoint @PrudhommeLoic Ma position est et a toujours été celle de la non-violence dans l'action. Ce sont toujours les nôtres qui ont été les premières victimes de la violence à travers le monde. #EnTouteFranchise
JLMelenchon|2020-01-19 17:30:24|@RaquelGarridoFr @LePoint Le préfet #Lallement est inapte à sa fonction. Il doit démissionner. Il a été mis là parce qu'il a laissé faire des violences contre le député @PrudhommeLoic. Et il a ensuite dit qu'il y aurait «deux camps» dans notre pays. Ce n'est pas tolérable. #EnTouteFranchise
JLMelenchon|2020-01-19 17:29:00|@RaquelGarridoFr @LePoint Il va falloir qu'on ait une sérieuse discussion parlementaire sur l'IGPN car désormais plus personne ne croit aux «enquêtes» qui en émanent. #EnTouteFranchise
